modelo,marca,valor,km,transmissao,combustivel,cor,ano,novidade,vendedor,href,info
PALIO,FIAT,44800.0,82446,manual,flex,Branco,2017,False,Isaias Automóveis - Aracaju,https://carango.com.br/veiculo/fiat-palio-2017-1-0-mpi-attractive-8v-flex-4p-manual-gasolina-e-alcool-115535,FIAT PALIO 2017 1.0 MPI ATTRACTIVE 8V FLEX 4P MANUAL - Carango 115535
HILUX,TOYOTA,95800.0,190000,automatico,diesel,Dourado,2006,False,Aracaju Automóveis ,https://carango.com.br/veiculo/toyota-hilux-2006-3-0-srv-4x4-cd-16v-turbo-intercooler-diesel-4p-automatico-diesel-115534,TOYOTA HILUX 2006 3.0 SRV 4X4 CD 16V TURBO INTERCOOLER DIESEL 4P AUTOMÁTICO - Carango 115534
SPIN,CHEVROLET,91000.0,29792,automatico,flex,Prata,2021,True,PRIMECAR AUTOMÓVEIS,https://carango.com.br/veiculo/chevrolet-spin-2021-1-8-premier-8v-flex-4p-automatico-flex-115533,CHEVROLET SPIN 2021 1.8 PREMIER 8V FLEX 4P AUTOMÁTICO - Carango 115533
RENEGADE,JEEP,130000.0,14902,automatico,flex,Cinza,2022,True,NOSSATERRA SEMINOVOS FIAT / JEEP,https://carango.com.br/veiculo/jeep-renegade-2022-1-3-t270-turbo-flex-longitude-at6-flex-115529,JEEP RENEGADE 2022 1.3 T270 TURBO FLEX LONGITUDE AT6 - Carango 115529
TORO,FIAT,113000.0,20392,automatico,flex,Cinza,2022,True,NOSSATERRA SEMINOVOS FIAT / JEEP,https://carango.com.br/veiculo/fiat-toro-2022-1-8-16v-endurance-flex-4p-automatico-flex-115528,FIAT TORO 2022 1.8 16V ENDURANCE FLEX 4P AUTOMÁTICO - Carango 115528
TORO,FIAT,155000.0,41329,automatico,diesel,Cinza,2022,True,NOSSATERRA SEMINOVOS FIAT / JEEP,https://carango.com.br/veiculo/fiat-toro-2022-2-0-16v-turbo-diesel-endurance-4wd-at9-diesel-115527,FIAT TORO 2022 2.0 16V TURBO DIESEL ENDURANCE 4WD AT9 - Carango 115527
X3,BMW,260000.0,27759,automatico,gasolina,Preto,2020,True,Gama Seminovos ,https://carango.com.br/veiculo/bmw-x3-2020-2-0-16v-gasolina-x-line-xdrive20i-steptronic-gasolina-115526,BMW X3 2020 2.0 16V GASOLINA X LINE XDRIVE20I STEPTRONIC - Carango 115526
C4,CITROËN,25000.0,,manual,flex,Prata,2010,False,JLA Corretora,https://carango.com.br/veiculo/citroen-c4-2010-1-6-glx-16v-flex-4p-manual-flex-115525,CITROËN C4 2010 1.6 GLX 16V FLEX 4P MANUAL - Carango 115525
SANDERO,RENAULT,64990.0,35656,manual,flex,Branco,2022,False,XCAR PLUS VEÍCULOS,https://carango.com.br/veiculo/renault-sandero-2022-1-0-12v-sce-flex-zen-manual-flex-115524,RENAULT SANDERO 2022 1.0 12V SCE FLEX ZEN MANUAL - Carango 115524
SPIN,CHEVROLET,99990.0,31000,automatico,flex,Branco,2022,False,Grupo R1 Autos ,https://carango.com.br/veiculo/chevrolet-spin-2022-1-8-activ7-8v-econo-flex-5p-aut-gasolina-e-alcool-115522,CHEVROLET SPIN 2022 1.8 ACTIV7 8V ECONO.FLEX 5P AUT. - Carango 115522
HB20,HYUNDAI,64990.0,61000,manual,flex,Prata,2020,False,Grupo R1 Autos ,https://carango.com.br/veiculo/hyundai-hb20-2020-1-0-unique-12v-flex-4p-manual-flex-115521,HYUNDAI HB20 2020  1.0 UNIQUE 12V FLEX 4P MANUAL - Carango 115521
UNO,FIAT,54990.0,43200,,flex,Branco,2021,False,Grupo R1 Autos ,https://carango.com.br/veiculo/fiat-uno-2021-1-0-attractive-8v-4p-flex-flex-115520,FIAT UNO 2021 1.0 ATTRACTIVE 8V 4P FLEX  - Carango 115520
AMAROK,VOLKSWAGEN,106000.0,211604,automatico,diesel,Branco,2014,False,SHOPCAR MULTIMARCAS,https://carango.com.br/veiculo/volkswagen-amarok-2014-2-0-trendline-cd-16v-tdi-4x4-diesel-4p-automatico-diesel-115519,VOLKSWAGEN AMAROK 2014 2.0 TRENDLINE CD 16V TDI 4X4 DIESEL 4P AUTOMÁTICO - Carango 115519
ONIX,CHEVROLET,44500.0,68153,manual,flex,Preto,2015,False,SHOPCAR MULTIMARCAS,https://carango.com.br/veiculo/chevrolet-onix-2015-1-0-mpfi-ls-8v-flex-4p-manual-flex-115518,CHEVROLET ONIX 2015 1.0 MPFI LS 8V FLEX 4P MANUAL - Carango 115518
HB20,HYUNDAI,47500.0,110000,manual,flex,Branco,2017,False,MGM AUTOMÓVEIS,https://carango.com.br/veiculo/hyundai-hb20-2017-1-0-comfort-12v-flex-4p-manual-flex-115517,HYUNDAI HB20 2017 1.0 COMFORT 12V FLEX 4P MANUAL - Carango 115517
COROLLA,TOYOTA,163000.0,18000,automatico,flex,Cinza,2022,False,Auto Flex,https://carango.com.br/veiculo/toyota-corolla-2022-1-8-vvt-i-hybrid-premium-flex-altis-cvt-gasolina-e-eletrico-115516,TOYOTA COROLLA 2022 1.8 VVT-I HYBRID PREMIUM FLEX ALTIS CVT - Carango 115516
VIRTUS,VOLKSWAGEN,99990.0,32692,automatico,flex,Cinza,2021,False,XCAR PLUS VEÍCULOS,https://carango.com.br/veiculo/volkswagen-virtus-2021-1-0-200-tsi-highline-automatico-flex-115515,VOLKSWAGEN VIRTUS 2021 1.0 200 TSI HIGHLINE AUTOMÁTICO - Carango 115515
CHERY,CAOA,99990.0,41903,automatico,flex,Branco,2021,False,Toyolex Seminovos - Aracaju,https://carango.com.br/veiculo/caoa-chery-arrizo-6-2021-1-5-vvt-turbo-iflex-gsx-cvt-flex-115514,CAOA CHERY ARRIZO 6 2021 1.5 VVT TURBO iFLEX GSX CVT - Carango 115514
COROLLA,TOYOTA,145990.0,54246,automatico,flex,Branco,2021,False,Toyolex Seminovos - Aracaju,https://carango.com.br/veiculo/toyota-corolla-2021-2-0-vvt-ie-flex-altis-direct-shift-flex-115513,TOYOTA COROLLA 2021 2.0 VVT-IE FLEX ALTIS DIRECT SHIFT - Carango 115513
COROLLA,TOYOTA,109990.0,30525,automatico,flex,Cinza,2019,False,Toyolex Seminovos - Aracaju,https://carango.com.br/veiculo/toyota-corolla-2019-2-0-xei-16v-flex-4p-automatico-flex-115512,TOYOTA COROLLA 2019 2.0 XEI 16V FLEX 4P AUTOMÁTICO - Carango 115512
RANGER,FORD,244990.0,20902,automatico,diesel,Branco,2022,False,Toyolex Seminovos - Aracaju,https://carango.com.br/veiculo/ford-ranger-2022-3-2-limited-4x4-cd-20v-diesel-4p-automatico-diesel-115511,FORD RANGER 2022 3.2 LIMITED 4X4 CD 20V DIESEL 4P AUTOMÁTICO - Carango 115511
JETTA,VOLKSWAGEN,67000.0,95000,automatico,flex,Branco,2013,False,JLA Corretora,https://carango.com.br/veiculo/volkswagen-jetta-2013-2-0-comfortline-120cv-flex-4p-automatico-flex-115510,VOLKSWAGEN JETTA 2013 2.0 COMFORTLINE 120CV FLEX 4P AUTOMÁTICO - Carango 115510
ONIX,CHEVROLET,56000.0,69000,manual,flex,2019,2019,False,JLA Corretora,https://carango.com.br/veiculo/chevrolet-onix-2019-1-0-flex-lt-manual-flex-115509,CHEVROLET ONIX 2019 1.0 FLEX LT MANUAL - Carango 115509
TORO,FIAT,A Combinar,119000,manual,diesel,branco,2017,False,Scuderia Veículos e Pick-ups,https://carango.com.br/veiculo/fiat-toro-2017-toro-freedom-2-0-16v-4x4-tb-diesel-mec--diesel-115508,FIAT TORO 2017 Toro Freedom 2.0 16V 4x4 TB Diesel Mec. - Carango 115508
CIVIC,HONDA,97990.0,61000,automatico,flex,Preto,2017,False,Auto Flex,https://carango.com.br/veiculo/honda-civic-2017-2-0-exl-sedan-16v-flex-4p-automatico-flex-115507,HONDA CIVIC 2017 2.0 EXL SEDAN 16V FLEX 4P AUTOMÁTICO - Carango 115507
